year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1952,California,Pacific,11612419.2,0.386819484,4.288512079,1.722294007,2.566218071,675,1745,200,298,498,0.390708745,0.296875,0.388918191,0.305555552,0.392210633
1952,Colorado,Mountain,1410860.6,0.430051813,3.118663885,1.559331943,1.559331943,83,193,22,22,44,0.429319382,0.5,0.560975611,0.666666687,0.559405923
1952,Connecticut,New England,2112870.8,0.210045662,1.751171913,0.662605589,1.088566324,46,219,14,23,37,0.208333328,0.333333343,0.259259254,0.25,0.259433955
1952,Delaware,South Atlantic,343726.4,0.538461538,6.109510355,2.327432516,3.782077839,21,39,8,13,21,0.513513505,1,0.560975611,1,0.550000012
1952,District of Columbia,South Atlantic,794533.6,0.283783784,9.565360106,2.768920031,6.796440075,21,74,22,54,76,0.293103456,0.25,0.256097555,0.25,0.25757575
1952,Florida,South Atlantic,3207356,0.524216524,10.69416678,5.674455845,5.019710939,184,351,182,161,343,0.519637465,0.545454562,0.489795923,0.649999976,0.479876161
1952,Georgia,South Atlantic,3544285.6,0.677902622,14.41757402,8.605401325,5.812172698,181,267,305,206,511,0.681451619,0.631578922,0.676258981,0.586206913,0.686747015
1952,Idaho,Mountain,604347.8,0.68,2.15107923,1.820143963,0.330935266,51,75,11,2,13,0.671232879,1,0.666666687,0.5,0.670886099
1952,Illinois,East North Central,8553972.4,0.424626007,4.781404251,2.536833062,2.244571189,369,869,217,192,409,0.423487544,0.461538464,0.436830848,0.449999988,0.43654266
1952,Indiana,East North Central,4079878.8,0.453441296,3.921685125,1.838289902,2.083395222,224,494,75,85,160,0.453798771,0.428571433,0.478672981,0.416666657,0.480487794
1952,Iowa,West North Central,2648365.8,0.457413249,1.510365373,0.755182687,0.755182687,145,317,20,20,40,0.457413256,NA,0.428044289,NA,0.428044289
1952,Kansas,West North Central,1959961.4,0.628571429,3.112306191,1.785749454,1.326556737,132,210,35,26,61,0.623762369,0.75,0.585820913,0.5,0.586466193
1952,Kentucky,East South Central,2963476,0.618055556,8.469783457,6.107692453,2.362091004,178,288,181,70,251,0.620938599,0.545454562,0.648351669,0.625,0.649056613
1952,Louisiana,West South Central,2798217.2,0.677018634,9.68473784,4.89597448,4.78876336,109,161,137,134,271,0.664335668,0.777777791,0.656976759,0.619047642,0.662251651
1952,Maine,New England,924872.2,0.504065041,0.97310742,0.756861326,0.216246093,62,123,7,2,9,0.504065037,NA,0.428571433,NA,0.428571433
1952,Maryland,South Atlantic,2494538.6,0.422594142,5.732523041,2.685867439,3.046655602,101,239,67,76,143,0.430493265,0.3125,0.437750995,0.277777791,0.450216442
1952,Massachusetts,New England,4782126.8,0.213917526,1.0037375,0.292756771,0.710980729,83,388,14,34,48,0.215223104,0.142857149,0.249283671,0,0.253644317
